Naslov; Cena; Lokacija; Broj pregleda
Rocky Mountain flet line pro;800 €;Novi Sad;33
Bicikl Aluminijum 28" CROSS PICNIC CTB 450 mm 28" šif 15762;78.250 din;Novi Sad;771
Prophete E-Mountainbike 27,5 Kao NOVO Kompletan;600 €;Novi Sad;145
Mtb bicikl Cross Fusion 29x540 ŠIFRA 14738;85.190 din;Novi Sad;469
Cubisport GB4150K;618 €;Novi Sad;24
KTM ALP TRAIL 29er (Size-L) 3x10 XT PRELEP;600 €;Novi Sad;344
CUBE SLX 1x11;600 €;Novi Sad;29
ROSE Psycho Path 29er 1x12 Carbon XL NOVO;800 €;Novi Sad;857
Cube ams 120 full suspension 29er fox, reba;650 €;Novi Sad;904
